time,hdop,satellites,total_satellites,vdop,GPS,GLONASS,Galileo,Beidou
20:09:09,1.0,11,,,,,,
20:09:10,1.0,11,,,,,,
20:09:11,0.87,12,,,,,,
20:09:12,0.87,12,,,,,,
20:09:13,0.87,12,7,,0,3,0,0
20:09:14,0.88,12,,,,,,
20:09:15,0.88,12,,,,,,
20:09:16,0.87,12,,,,,,
20:09:17,0.88,12,,,,,,
20:09:18,0.88,12,7,,0,3,0,0
20:09:19,0.88,12,,,,,,
20:09:20,0.88,12,,,,,,
20:09:21,0.88,12,,,,,,
20:09:22,0.88,12,,,,,,
20:09:23,0.88,12,7,,0,3,0,0
20:09:24,0.88,12,,,,,,
20:09:25,0.88,12,,,,,,
20:09:26,0.88,12,,,,,,
20:09:27,0.88,12,,,,,,
20:09:28,0.88,12,7,,0,3,0,0
20:09:29,0.88,12,,,,,,
20:09:30,0.88,12,,,,,,
20:09:31,0.88,12,,,,,,
20:09:32,0.88,12,,,,,,
20:09:33,0.82,13,7,,0,3,0,0
20:09:34,0.82,13,,,,,,
20:09:35,0.82,13,,,,,,
20:09:36,0.82,13,,,,,,
20:09:37,0.82,13,,,,,,
20:09:38,0.82,13,7,,0,3,0,0
20:09:39,0.82,13,,,,,,
20:09:40,0.82,13,,,,,,
20:09:41,0.82,13,,,,,,
20:09:42,0.82,13,,,,,,
20:09:43,0.82,13,7,,0,3,0,0
20:09:44,0.82,13,,,,,,
20:09:45,0.82,13,,,,,,
20:09:46,0.82,13,,,,,,
20:09:47,0.82,13,,,,,,
20:09:48,0.82,13,7,,0,3,0,0
20:09:49,0.82,13,,,,,,
20:09:50,0.82,13,,,,,,
20:09:51,0.82,13,,,,,,
20:09:52,0.82,13,,,,,,
20:09:53,0.82,13,7,,0,3,0,0
20:09:54,0.82,13,,,,,,
20:09:55,0.82,13,,,,,,
20:09:56,0.82,13,,,,,,
20:09:57,0.82,13,,,,,,
20:09:58,0.82,13,7,,0,3,0,0
20:09:59,0.82,13,,,,,,
20:10:00,0.82,13,,,,,,
20:10:01,0.82,13,,,,,,
20:10:02,0.82,13,,,,,,
20:10:03,0.82,13,7,,0,3,0,0
20:10:04,0.88,12,,,,,,
20:10:05,0.88,13,,,,,,
20:10:06,0.88,13,,,,,,
20:10:07,0.88,13,,,,,,
20:10:08,0.88,13,7,,0,3,0,0
20:10:09,0.88,13,,,,,,
20:10:10,0.88,13,,,,,,
20:10:11,0.88,13,,,,,,
20:10:12,0.88,13,,,,,,
20:10:13,0.88,13,7,,0,3,0,0
20:10:14,0.88,13,,,,,,
20:10:15,0.81,14,,,,,,
20:10:16,0.81,14,,,,,,
20:10:17,0.81,14,,,,,,
20:10:18,0.81,14,7,,0,3,0,0
20:10:19,0.81,14,,,,,,
20:10:20,0.81,14,,,,,,
20:10:21,0.81,14,,,,,,
20:10:22,0.81,14,,,,,,
20:10:23,0.82,13,7,,0,3,0,0
20:10:24,0.82,13,,,,,,
20:10:25,0.82,13,,,,,,
20:10:26,0.82,13,,,,,,
20:10:27,0.82,13,,,,,,
20:10:28,0.82,13,7,,0,3,0,0
20:10:29,0.82,13,,,,,,
20:10:30,0.88,12,,,,,,
20:10:31,0.88,12,,,,,,
20:10:32,0.88,12,,,,,,
20:10:33,1.0,11,7,,0,3,0,0
20:10:34,1.0,11,,,,,,
20:10:35,1.0,11,,,,,,
20:10:36,1.0,11,,,,,,
20:10:37,1.0,11,,,,,,
20:10:38,1.0,11,7,,0,3,0,0
20:10:39,1.0,11,,,,,,
20:10:40,1.0,11,,,,,,
20:10:41,1.0,11,,,,,,
20:10:42,1.0,11,,,,,,
20:10:43,1.0,11,7,,0,3,0,0
20:10:44,1.0,11,,,,,,
20:10:45,1.0,11,,,,,,
20:10:46,1.01,11,,,,,,
20:10:47,1.0,12,,,,,,
20:10:48,1.0,12,7,,0,3,0,0
20:10:49,1.0,12,,,,,,
20:10:50,1.0,12,,,,,,
20:10:51,1.0,12,,,,,,
20:10:52,1.0,12,,,,,,
20:10:53,1.0,12,7,,0,3,0,0
20:10:54,1.0,12,,,,,,
20:10:55,1.0,12,,,,,,
20:10:56,1.0,12,,,,,,
20:10:57,1.0,12,,,,,,
20:10:58,1.0,12,7,,0,3,0,0
20:10:59,0.88,13,,,,,,
20:11:00,0.88,13,,,,,,
20:11:01,0.88,13,,,,,,
20:11:02,0.88,13,,,,,,
20:11:03,0.88,13,7,,0,3,0,0
20:11:04,0.88,13,,,,,,
20:11:05,0.88,13,,,,,,
20:11:06,0.88,13,,,,,,
20:11:07,0.88,13,,,,,,
20:11:08,0.88,13,7,,0,3,0,0
20:11:09,0.88,13,,,,,,
20:11:10,0.88,13,,,,,,
20:11:11,0.88,13,,,,,,
20:11:12,0.88,13,,,,,,
20:11:13,0.88,13,7,,0,3,0,0
20:11:14,0.88,13,,,,,,
20:11:15,0.88,13,,,,,,
20:11:16,0.88,13,,,,,,
20:11:17,0.88,13,,,,,,
20:11:18,0.88,13,7,,0,3,0,0
20:11:19,0.88,13,,,,,,
20:11:20,0.88,13,,,,,,
20:11:21,0.88,13,,,,,,
20:11:22,0.88,13,,,,,,
20:11:23,0.88,13,7,,0,3,0,0
20:11:24,0.88,13,,,,,,
20:11:25,0.88,13,,,,,,
20:11:26,0.88,13,,,,,,
20:11:27,0.88,13,,,,,,
20:11:28,0.88,13,7,,0,3,0,0
20:11:29,0.88,13,,,,,,
20:11:30,0.88,13,,,,,,
20:11:31,0.88,13,,,,,,
20:11:32,0.88,13,,,,,,
20:11:33,0.88,13,7,,0,3,0,0
20:11:34,0.88,13,,,,,,
20:11:35,0.88,13,,,,,,
20:11:36,0.88,13,,,,,,
20:11:37,0.88,13,,,,,,
20:11:38,0.95,12,7,,0,3,0,0
20:11:39,0.95,12,,,,,,
20:11:40,0.95,12,,,,,,
20:11:41,0.95,12,,,,,,
20:11:42,0.95,12,,,,,,
20:11:43,0.95,12,7,,0,3,0,0
20:11:44,0.95,12,,,,,,
20:11:45,0.95,12,,,,,,
20:11:46,0.95,12,,,,,,
20:11:47,0.95,12,,,,,,
20:11:48,0.95,12,7,,0,3,0,0
20:11:49,0.95,12,,,,,,
20:11:50,0.95,12,,,,,,
20:11:51,0.98,11,,,,,,
20:11:52,0.98,11,,,,,,
20:11:53,0.98,11,7,,0,3,0,0
20:11:54,0.98,11,,,,,,
20:11:55,0.98,11,,,,,,
20:11:56,0.98,11,,,,,,
20:11:57,0.98,11,,,,,,
20:11:58,0.98,11,7,,0,3,0,0
20:11:59,0.98,11,,,,,,
20:12:00,0.98,11,,,,,,
20:12:01,0.98,11,,,,,,
20:12:02,0.98,11,,,,,,
20:12:03,0.98,11,7,,0,3,0,0
20:12:04,0.98,11,,,,,,
20:12:05,0.98,11,,,,,,
20:12:06,0.98,11,,,,,,
20:12:07,0.98,11,,,,,,
20:12:08,0.98,11,7,,0,3,0,0
20:12:09,0.98,11,,,,,,
20:12:10,0.98,11,,,,,,
20:12:11,0.98,11,,,,,,
20:12:12,0.98,11,,,,,,
20:12:13,0.98,11,7,,0,3,0,0
20:12:14,0.98,11,,,,,,
20:12:15,0.98,11,,,,,,
20:12:16,0.98,11,,,,,,
20:12:17,0.98,11,,,,,,
20:12:18,0.98,11,7,,0,3,0,0
20:12:19,0.98,11,,,,,,
20:12:20,0.98,11,,,,,,
20:12:21,0.98,11,,,,,,
20:12:22,0.98,11,,,,,,
20:12:23,0.98,11,7,,0,3,0,0
20:12:24,0.98,11,,,,,,
20:12:25,0.98,11,,,,,,
20:12:26,0.98,11,,,,,,
20:12:27,0.98,11,,,,,,
20:12:28,0.98,11,7,,0,3,0,0
20:12:29,0.98,11,,,,,,
20:12:30,0.98,11,,,,,,
20:12:31,0.98,11,,,,,,
20:12:32,0.98,11,,,,,,
20:12:33,0.98,11,7,,0,3,0,0
20:12:34,0.98,11,,,,,,
20:12:35,0.98,11,,,,,,
20:12:36,0.98,11,,,,,,
20:12:37,0.98,11,,,,,,
20:12:38,0.98,11,7,,0,3,0,0
20:12:39,0.98,11,,,,,,
20:12:40,0.98,11,,,,,,
20:12:41,0.98,11,,,,,,
20:12:42,0.98,11,,,,,,
20:12:43,0.98,11,7,,0,3,0,0
20:12:44,0.98,11,,,,,,
20:12:45,0.91,12,,,,,,
20:12:46,0.91,12,,,,,,
20:12:47,0.91,12,,,,,,
20:12:48,0.91,12,7,,0,3,0,0
20:12:49,0.91,12,,,,,,
20:12:50,0.91,12,,,,,,
20:12:51,0.91,12,,,,,,
20:12:52,0.91,12,,,,,,
20:12:53,0.91,12,7,,0,3,0,0
20:12:54,0.91,12,,,,,,
20:12:55,0.91,12,,,,,,
20:12:56,0.91,12,,,,,,
20:12:57,0.91,12,,,,,,
20:12:58,0.91,12,7,,0,3,0,0
20:12:59,0.91,12,,,,,,
20:13:00,0.91,12,,,,,,
20:13:01,0.91,12,,,,,,
20:13:02,0.91,12,,,,,,
20:13:03,0.91,12,7,,0,3,0,0
20:13:04,0.88,13,,,,,,
20:13:05,0.88,13,,,,,,
20:13:06,0.88,13,,,,,,
20:13:07,0.88,13,,,,,,
20:13:08,0.88,13,7,,0,3,0,0
20:13:09,0.88,13,,,,,,
20:13:10,0.88,13,,,,,,
20:13:11,0.88,13,,,,,,
20:13:12,0.88,13,,,,,,
20:13:13,0.88,13,7,,0,3,0,0
20:13:14,0.88,13,,,,,,
20:13:15,0.88,13,,,,,,
20:13:16,0.88,13,,,,,,
20:13:17,0.88,13,,,,,,
20:13:18,0.88,13,7,,0,3,0,0
20:13:19,0.88,13,,,,,,
20:13:20,0.88,13,,,,,,
20:13:21,0.88,13,,,,,,
20:13:22,0.88,13,,,,,,
20:13:23,0.88,13,7,,0,3,0,0
20:13:24,0.88,13,,,,,,
20:13:25,0.88,13,,,,,,
20:13:26,0.88,13,,,,,,
20:13:27,0.88,13,,,,,,
20:13:28,0.88,13,7,,0,3,0,0
20:13:29,0.88,13,,,,,,
20:13:30,0.88,13,,,,,,
20:13:31,0.88,13,,,,,,
20:13:32,0.88,13,,,,,,
20:13:33,0.88,13,7,,0,3,0,0
20:13:34,0.88,13,,,,,,
20:13:35,0.88,13,,,,,,
20:13:36,0.88,13,,,,,,
20:13:37,0.88,13,,,,,,
20:13:38,0.88,13,7,,0,3,0,0
20:13:39,0.88,13,,,,,,
20:13:40,0.88,13,,,,,,
20:13:41,0.88,13,,,,,,
20:13:42,0.88,13,,,,,,
20:13:43,0.88,13,7,,0,3,0,0
20:13:44,0.88,13,,,,,,
20:13:45,0.88,13,,,,,,
20:13:46,0.88,13,,,,,,
20:13:47,0.88,13,,,,,,
20:13:48,0.88,13,7,,0,3,0,0
20:13:49,0.88,13,,,,,,
20:13:50,0.88,13,,,,,,
20:13:51,0.88,13,,,,,,
20:13:52,0.88,13,,,,,,
20:13:53,0.88,13,7,,0,3,0,0
20:13:54,0.88,13,,,,,,
20:13:55,0.88,13,,,,,,
20:13:56,0.88,13,,,,,,
20:13:57,0.88,13,,,,,,
20:13:58,0.88,13,7,,0,3,0,0
20:13:59,0.88,13,,,,,,
20:14:00,0.88,13,,,,,,
20:14:01,0.88,13,,,,,,
20:14:02,0.88,13,,,,,,
20:14:03,0.88,13,7,,0,3,0,0
20:14:04,0.88,13,,,,,,
20:14:05,0.88,13,,,,,,
20:14:06,0.88,13,,,,,,
20:14:07,0.88,13,,,,,,
20:14:08,0.88,13,7,,0,3,0,0
20:14:09,0.88,13,,,,,,
20:14:10,0.88,13,,,,,,
20:14:11,0.88,13,,,,,,
20:14:12,0.88,13,,,,,,
20:14:13,0.88,13,7,,0,3,0,0
20:14:14,0.88,13,,,,,,
20:14:15,0.88,13,,,,,,
20:14:16,0.88,13,,,,,,
20:14:17,0.88,13,,,,,,
20:14:18,0.88,13,7,,0,3,0,0
20:14:19,0.88,13,,,,,,
20:14:20,0.88,13,,,,,,
20:14:21,0.88,13,,,,,,
20:14:22,0.88,13,,,,,,
20:14:23,0.88,13,7,,0,3,0,0
20:14:24,0.88,13,,,,,,
20:14:25,0.88,13,,,,,,
20:14:26,0.88,13,,,,,,
20:14:27,0.88,13,,,,,,
20:14:28,0.88,13,7,,0,3,0,0
20:14:29,0.88,13,,,,,,
20:14:30,0.88,13,,,,,,
20:14:31,0.88,13,,,,,,
20:14:32,0.88,13,,,,,,
20:14:33,0.88,13,7,,0,3,0,0
20:14:34,0.88,13,,,,,,
20:14:35,0.88,13,,,,,,
20:14:36,0.88,13,,,,,,
20:14:37,0.88,13,,,,,,
20:14:38,0.88,13,7,,0,3,0,0
20:14:39,0.88,13,,,,,,
20:14:40,0.88,13,,,,,,
20:14:41,0.88,13,,,,,,
20:14:42,0.88,13,,,,,,
20:14:43,0.88,13,7,,0,3,0,0
20:14:44,0.88,13,,,,,,
20:14:45,0.92,12,,,,,,
20:14:46,0.92,12,,,,,,
20:14:47,0.88,13,,,,,,
20:14:48,0.88,13,7,,0,3,0,0
20:14:49,0.88,13,,,,,,
20:14:50,0.88,13,,,,,,
20:14:51,0.88,13,,,,,,
20:14:52,0.88,13,,,,,,
20:14:53,0.88,13,7,,0,3,0,0
20:14:54,0.88,13,,,,,,
20:14:55,0.88,13,,,,,,
20:14:56,0.88,13,,,,,,
20:14:57,0.88,13,,,,,,
20:14:58,1.09,12,7,,0,3,0,0
20:14:59,1.09,12,,,,,,
20:15:00,1.09,12,,,,,,
20:15:01,1.09,12,,,,,,
20:15:02,1.09,11,,,,,,
20:15:03,0.92,12,7,,0,3,0,0
20:15:04,0.92,12,,,,,,
20:15:05,0.92,12,,,,,,
20:15:06,0.88,13,,,,,,
20:15:07,0.88,13,,,,,,
20:15:08,0.88,13,7,,0,3,0,0
20:15:09,0.88,13,,,,,,
20:15:10,1.01,12,,,,,,
20:15:11,1.01,12,,,,,,
20:15:12,1.0,12,,,,,,
20:15:13,1.01,12,7,,0,3,0,0
20:15:14,1.01,12,,,,,,
20:15:15,1.01,12,,,,,,
20:15:16,1.01,12,,,,,,
20:15:17,1.01,12,,,,,,
20:15:18,1.01,12,7,,0,3,0,0
20:15:19,1.01,12,,,,,,
20:15:20,1.01,12,,,,,,
20:15:21,1.01,12,,,,,,
20:15:22,1.01,12,,,,,,
20:15:23,1.01,12,7,,0,3,0,0
20:15:24,1.01,12,,,,,,
20:15:25,1.01,12,,,,,,
20:15:26,1.01,12,,,,,,
20:15:27,1.01,12,,,,,,
20:15:28,1.01,12,7,,0,3,0,0
20:15:29,1.01,12,,,,,,
20:15:30,1.01,12,,,,,,
20:15:31,1.01,12,,,,,,
20:15:32,1.01,12,,,,,,
20:15:33,1.01,12,7,,0,3,0,0
20:15:34,1.01,12,,,,,,
20:15:35,1.01,12,,,,,,
20:15:36,0.88,13,,,,,,
20:15:37,0.88,13,,,,,,
20:15:38,0.88,13,7,,0,3,0,0
20:15:39,0.88,13,,,,,,
20:15:40,0.88,13,,,,,,
20:15:41,0.88,13,,,,,,
20:15:42,0.88,13,,,,,,
20:15:43,0.88,13,7,,0,3,0,0
20:15:44,0.88,13,,,,,,
20:15:45,0.88,13,,,,,,
20:15:46,0.88,13,,,,,,
20:15:47,0.88,13,,,,,,
20:15:48,0.88,13,7,,0,3,0,0
20:15:49,0.88,13,,,,,,
20:15:50,0.88,13,,,,,,
20:15:51,0.88,13,,,,,,
20:15:52,0.88,13,,,,,,
20:15:53,0.88,13,7,,0,3,0,0
20:15:54,0.88,13,,,,,,
20:15:55,0.88,13,,,,,,
20:15:56,0.88,13,,,,,,
20:15:57,0.88,13,,,,,,
20:15:58,0.88,13,7,,0,3,0,0
20:15:59,0.88,13,,,,,,
20:16:00,0.88,13,,,,,,
20:16:01,0.88,13,,,,,,
20:16:02,0.88,13,,,,,,
20:16:03,0.88,13,7,,0,3,0,0
20:16:04,0.88,13,,,,,,
20:16:05,0.88,13,,,,,,
20:16:06,0.88,13,,,,,,
20:16:07,0.88,13,,,,,,
20:16:08,0.88,13,7,,0,3,0,0
20:16:09,0.88,13,,,,,,
20:16:10,0.88,13,,,,,,
20:16:11,0.88,13,,,,,,
20:16:12,0.88,13,,,,,,
20:16:13,0.88,13,7,,0,3,0,0
20:16:14,0.88,13,,,,,,
20:16:15,0.88,13,,,,,,
20:16:16,0.88,13,,,,,,
20:16:17,0.88,13,,,,,,
20:16:18,0.88,13,7,,0,3,0,0
20:16:19,0.88,13,,,,,,
20:16:20,0.88,13,,,,,,
20:16:21,0.88,13,,,,,,
20:16:22,0.89,12,,,,,,
20:16:23,0.89,12,7,,0,3,0,0
20:16:24,0.89,12,,,,,,
20:16:25,0.89,12,,,,,,
20:16:26,0.89,12,,,,,,
20:16:27,0.89,12,,,,,,
20:16:28,0.89,12,7,,0,3,0,0
20:16:29,1.02,11,,,,,,
20:16:30,1.02,11,,,,,,
20:16:31,1.01,12,,,,,,
20:16:32,1.01,12,,,,,,
20:16:33,1.01,12,7,,0,3,0,0
20:16:34,0.88,13,,,,,,
20:16:35,0.88,13,,,,,,
20:16:36,0.88,13,,,,,,
20:16:37,0.88,13,,,,,,
20:16:38,0.88,13,7,,0,3,0,0
20:16:39,0.88,13,,,,,,
20:16:40,1.01,12,,,,,,
20:16:41,1.01,12,,,,,,
20:16:42,1.01,12,,,,,,
20:16:43,1.01,12,7,,0,3,0,0
20:16:44,1.01,12,,,,,,
20:16:45,0.88,13,,,,,,
20:16:46,0.88,13,,,,,,
20:16:47,0.88,13,,,,,,
20:16:48,0.88,13,7,,0,3,0,0
20:16:49,0.88,13,,,,,,
20:16:50,0.88,13,,,,,,
20:16:51,0.88,13,,,,,,
20:16:52,0.88,13,,,,,,
20:16:53,0.88,13,7,,0,3,0,0
20:16:54,0.88,13,,,,,,
20:16:55,1.01,12,,,,,,
20:16:56,1.01,12,,,,,,
20:16:57,0.88,13,,,,,,
20:16:58,0.88,13,7,,0,3,0,0
20:16:59,0.88,13,,,,,,
20:17:00,0.88,13,,,,,,
20:17:01,0.88,13,,,,,,
20:17:02,0.88,13,,,,,,
20:17:03,0.88,13,7,,0,3,0,0
20:17:04,0.88,13,,,,,,
20:17:05,0.88,13,,,,,,
20:17:06,0.88,13,,,,,,
20:17:07,0.88,13,,,,,,
20:17:08,0.88,13,7,,0,3,0,0
20:17:09,0.88,13,,,,,,
20:17:10,0.88,13,,,,,,
20:17:11,0.88,13,,,,,,
20:17:12,0.88,13,,,,,,
20:17:13,0.88,13,7,,0,3,0,0
20:17:14,0.88,13,,,,,,
20:17:15,0.88,13,,,,,,
20:17:16,0.88,13,,,,,,
20:17:17,0.88,13,,,,,,
20:17:18,0.88,13,7,,0,3,0,0
20:17:19,0.88,13,,,,,,
20:17:20,0.88,13,,,,,,
20:17:21,0.88,13,,,,,,
20:17:22,0.88,13,,,,,,
20:17:23,0.88,13,7,,0,3,0,0
20:17:24,0.88,13,,,,,,
20:17:25,0.88,13,,,,,,
20:17:26,0.88,13,,,,,,
20:17:27,0.88,13,,,,,,
20:17:28,0.88,13,7,,0,3,0,0
20:17:29,0.88,13,,,,,,
20:17:30,0.88,13,,,,,,
20:17:31,0.88,13,,,,,,
20:17:32,0.88,13,,,,,,
20:17:33,0.88,13,7,,0,3,0,0
20:17:34,0.88,13,,,,,,
20:17:35,0.88,13,,,,,,
20:17:36,0.88,13,,,,,,
20:17:37,0.88,13,,,,,,
20:17:38,0.88,13,7,,0,3,0,0
20:17:39,0.88,13,,,,,,
20:17:40,0.88,13,,,,,,
20:17:41,0.88,13,,,,,,
20:17:42,0.88,13,,,,,,
20:17:43,0.88,13,7,,0,3,0,0
20:17:44,0.88,13,,,,,,
20:17:45,0.88,13,,,,,,
20:17:46,0.88,13,,,,,,
20:17:47,0.88,13,,,,,,
20:17:48,0.89,12,7,,0,3,0,0
20:17:49,0.89,12,,,,,,
20:17:50,0.89,12,,,,,,
20:17:51,0.89,12,,,,,,
20:17:52,0.89,12,,,,,,
20:17:53,0.89,12,7,,0,3,0,0
20:17:54,0.89,12,,,,,,
20:17:55,0.89,12,,,,,,
20:17:56,0.89,12,,,,,,
20:17:57,0.89,12,,,,,,
20:17:58,0.89,12,7,,0,3,0,0
20:17:59,0.89,12,,,,,,
20:18:00,0.88,13,,,,,,
20:18:01,0.88,13,,,,,,
20:18:02,0.88,13,,,,,,
20:18:03,0.88,13,7,,0,3,0,0
20:18:04,0.88,13,,,,,,
20:18:05,0.88,13,,,,,,
20:18:06,0.88,13,,,,,,
20:18:07,0.88,13,,,,,,
20:18:08,0.88,13,7,,0,3,0,0
20:18:09,0.88,13,,,,,,
20:18:10,0.88,13,,,,,,
20:18:11,0.88,13,,,,,,
20:18:12,0.88,13,,,,,,
20:18:13,0.88,13,7,,0,3,0,0
20:18:14,0.88,13,,,,,,
20:18:15,0.88,13,,,,,,
20:18:16,0.88,13,,,,,,
20:18:17,0.88,13,,,,,,
20:18:18,0.88,13,7,,0,3,0,0
20:18:19,0.88,13,,,,,,
20:18:20,0.88,13,,,,,,
20:18:21,0.88,13,,,,,,
20:18:22,0.88,13,,,,,,
20:18:23,0.88,13,7,,0,3,0,0
20:18:24,0.88,13,,,,,,
20:18:25,0.88,13,,,,,,
20:18:26,0.88,13,,,,,,
20:18:27,0.88,13,,,,,,
20:18:28,0.89,12,7,,0,3,0,0
20:18:29,0.89,12,,,,,,
20:18:30,0.89,12,,,,,,
20:18:31,0.89,12,,,,,,
20:18:32,0.89,12,,,,,,
20:18:33,0.89,12,7,,0,3,0,0
20:18:34,0.89,12,,,,,,
20:18:35,0.89,12,,,,,,
20:18:36,0.89,12,,,,,,
20:18:37,0.89,12,,,,,,
20:18:38,0.89,12,7,,0,3,0,0
20:18:39,0.89,12,,,,,,
20:18:40,0.89,12,,,,,,
20:18:41,0.89,12,,,,,,
20:18:42,0.89,12,,,,,,
20:18:43,0.89,12,7,,0,3,0,0
20:18:44,0.89,12,,,,,,
20:18:45,0.89,12,,,,,,
20:18:46,0.88,13,,,,,,
20:18:47,0.89,12,,,,,,
20:18:48,0.89,12,7,,0,3,0,0
20:18:49,0.89,12,,,,,,
